pfizer,astrazeneca,sinovac,sinopharm
429277,388394,191420,74
1158,150,549,0
428111,388244,190871,74
18733,1211,4542,2
363325,383544,175136,63
46072,3488,11188,8
278130,289534,83057,35
68255,72076,9855,4
18031,25890,4907,10
161966,246522,89519,42
130503,234684,75686,31
89730,175957,38402,18
44780,128022,24488,17
86255,195627,46475,27
46043,243061,23594,20
36152,52429,20600,6
35283,187191,19593,6
11950,10799,8154,9
33500,2451,6127,7
8589,477,870,0
2729,181,495,0
21669,1713,5204,5
17747,1527,4733,5
12430,894,2411,0
6787,583,1552,0
12457,1032,2837,4
7403,745,1176,0
5877,383,1403,1
5887,604,984,1
1846,92,501,0
45070100,5708790,21584481,44309
